group_id,quarter_issue_date_dt,Treated,Count,Post,log_Count
A01B,2012-12-31,0,2,0,0.6931471805599453
A01B,2013-03-31,0,1,0,0.0
A01B,2013-06-30,1,1,0,0.0
A01B,2013-09-30,0,2,0,0.6931471805599453
A01B,2014-12-31,0,1,1,0.0
A01B,2014-12-31,1,1,1,0.0
A01B,2015-03-31,0,1,1,0.0
A01B,2015-09-30,1,1,1,0.0
A01B,2015-12-31,0,2,1,0.6931471805599453
A01B,2016-06-30,0,2,1,0.6931471805599453
A01B,2016-09-30,0,1,1,0.0
A01C,2013-12-31,0,1,0,0.0
A01C,2015-03-31,1,1,1,0.0
A01C,2016-09-30,0,1,1,0.0
A01D,2012-03-31,0,1,0,0.0
A01D,2012-06-30,0,1,0,0.0
A01D,2012-09-30,0,1,0,0.0
A01D,2013-06-30,0,2,0,0.6931471805599453
A01D,2014-06-30,0,1,1,0.0
A01D,2014-09-30,0,1,1,0.0
A01D,2015-09-30,1,1,1,0.0
A01D,2016-06-30,0,1,1,0.0
A01D,2016-06-30,1,1,1,0.0
A01D,2016-09-30,0,1,1,0.0
A01D,2016-12-31,1,1,1,0.0
A01F,2013-09-30,0,1,0,0.0
A01F,2014-09-30,0,1,1,0.0
A01F,2015-03-31,1,1,1,0.0
A01F,2016-06-30,1,1,1,0.0
A01F,2016-12-31,1,1,1,0.0
A01G,2012-03-31,0,2,0,0.6931471805599453
A01G,2012-06-30,1,1,0,0.0
A01G,2013-03-31,0,1,0,0.0
A01G,2013-06-30,1,1,0,0.0
A01G,2013-09-30,0,1,0,0.0
A01G,2013-09-30,1,1,0,0.0
A01G,2013-12-31,0,1,0,0.0
A01G,2014-03-31,0,1,0,0.0
A01G,2014-06-30,0,2,1,0.6931471805599453
A01G,2014-12-31,0,1,1,0.0
A01G,2014-12-31,1,1,1,0.0
A01G,2015-06-30,0,1,1,0.0
A01G,2016-03-31,0,1,1,0.0
A01G,2016-09-30,0,1,1,0.0
A01G,2016-09-30,1,1,1,0.0
A01G,2016-12-31,0,1,1,0.0
A01H,2014-06-30,1,1,1,0.0
A01H,2014-12-31,0,1,1,0.0
A01J,2014-06-30,1,1,1,0.0
A01J,2016-03-31,1,1,1,0.0
A01J,2016-06-30,0,1,1,0.0
A01K,2012-03-31,0,2,0,0.6931471805599453
A01K,2012-06-30,0,1,0,0.0
A01K,2012-12-31,0,1,0,0.0
A01K,2013-06-30,0,2,0,0.6931471805599453
A01K,2013-09-30,0,1,0,0.0
A01K,2013-12-31,0,1,0,0.0
A01K,2014-03-31,0,1,0,0.0
A01K,2014-03-31,1,1,0,0.0
A01K,2014-06-30,0,3,1,1.0986122886681098
A01K,2014-09-30,0,1,1,0.0
A01K,2014-12-31,0,1,1,0.0
A01K,2015-03-31,0,1,1,0.0
A01K,2015-03-31,1,1,1,0.0
A01K,2015-12-31,0,2,1,0.6931471805599453
A01K,2016-03-31,0,7,1,1.9459101490553132
A01K,2016-03-31,1,1,1,0.0
A01K,2016-09-30,0,1,1,0.0
A01K,2016-12-31,0,3,1,1.0986122886681098
A01M,2013-09-30,0,1,0,0.0
A01M,2014-09-30,0,1,1,0.0
A01M,2015-12-31,0,1,1,0.0
A01M,2016-12-31,0,1,1,0.0
A01M,2016-12-31,1,1,1,0.0
A01N,2012-06-30,1,1,0,0.0
A01N,2012-09-30,1,1,0,0.0
A01N,2012-12-31,0,4,0,1.3862943611198906
A01N,2013-06-30,0,1,0,0.0
A01N,2013-12-31,0,3,0,1.0986122886681098
A01N,2014-03-31,1,1,0,0.0
A01N,2015-06-30,1,1,1,0.0
A01N,2015-09-30,1,1,1,0.0
A01N,2016-06-30,1,1,1,0.0
A01N,2016-12-31,1,1,1,0.0
A21B,2014-09-30,0,1,1,0.0
A21C,2012-03-31,0,1,0,0.0
A21C,2014-06-30,0,1,1,0.0
A22B,2012-03-31,1,1,0,0.0
A22B,2013-03-31,1,1,0,0.0
A22B,2014-03-31,0,1,0,0.0
A23D,2013-03-31,0,1,0,0.0
A23F,2015-12-31,0,1,1,0.0
A23F,2016-03-31,0,1,1,0.0
A23G,2015-12-31,0,2,1,0.6931471805599453
A23G,2016-03-31,0,1,1,0.0
A23G,2016-09-30,0,1,1,0.0
A23K,2016-09-30,1,1,1,0.0
A23L,2013-03-31,0,1,0,0.0
A23L,2013-09-30,1,1,0,0.0
A23L,2013-12-31,0,1,0,0.0
